Port Code,Port,State,Port Code Details
INMAA6,Chennai (EPZ/SEZ),Tamil Nadu,Port code for Chennai (EPZ/SEZ) is INMAA6
INMAA4,Chennai Air Cargo,Tamil Nadu,Port code for Chennai Air Cargo is INMAA4
INTUT1,Tuticorin Sea,Tamil Nadu,Port code for Tuticorin Sea is INTUT1
INTUT6,Tuticorin ICD,Tamil Nadu,Port code for Tuticorin ICD is INTUT6
INMAA1,Chennai Sea,Tamil Nadu,Port code for Chennai Sea is INMAA1
INDSK1,Dhanu – Shkodi,Tamil Nadu,Port code for Dhanu – Shkodi is INDSK1
INKSP1,Kulasekarapatnam,Tamil Nadu,Port code for Kulasekarapatnam is INKSP1
INPTN1,Portonovo,Tamil Nadu,Port code for Portonovo is INPTN1
INTPH1,Thopputhurai,Tamil Nadu,Port code for Thopputhurai is INTPH1
INTDE6,Tudiyalur – Coimbatore ICD,Tamil Nadu,Port code for Tudiyalur – Coimbatore ICD is INTDE6
INTND1,Tondi,Tamil Nadu,Port code for Tondi is INTND1
INTHO6,Tiruppur – Thottiplayam ICD,Tamil Nadu,Port code for Tiruppur – Thottiplayam ICD is INTHO6
INRWR1,Rameshwaram,Tamil Nadu,Port code for Rameshwaram is INRWR1
INPMB1,Pamban,Tamil Nadu,Port code for Pamban is INPMB1
INKKR1,Kilakari,Tamil Nadu,Port code for Kilakari is INKKR1
INCHL1,Colachel,Tamil Nadu,Port code for Colachel is INCHL1
INTRL6,Tiruvallur ICD,Tamil Nadu,Port code for Tiruvallur ICD is INTRL6
INILP6,Irungattukottai-ILP ICD,Tamil Nadu,Port code for Irungattukottai-ILP ICD is INILP6
INCDL1,Cuddalore,Tamil Nadu,Port code for Cuddalore is INCDL1
INNPT1,Nagapattinam,Tamil Nadu,Port code for Nagapattinam is INNPT1
INTYR1,Tirukkadayyur,Tamil Nadu,Port code for Tirukkadayyur is INTYR1
INVKM1,Valinokkam,Tamil Nadu,Port code for Valinokkam is INVKM1
INSLL6,Singnallur,Tamil Nadu,Port code for Singnallur is INSLL6
INTUP6,Tirupur,Tamil Nadu,Port code for Tirupur is INTUP6
INSXT6,Salem,Tamil Nadu,Port code for Salem is INSXT6
INCBE6,Coimbatore,Tamil Nadu,Port code for Coimbatore is INCBE6
INTRZ4,Tiruchirapalli,Tamil Nadu,Port code for Tiruchirapalli is INTRZ4
INCJB4,Coimbatore,Tamil Nadu,Port code for Coimbatore is INCJB4
INVEP1,Veppalodai,Tamil Nadu,Port code for Veppalodai is INVEP1
INRAM1,Rameshwaram,Tamil Nadu,Port code for Rameshwaram is INRAM1
INMDP1,Mandapam,Tamil Nadu,Port code for Mandapam is INMDP1
INCGI6,MWCDL-IT SEZ/Chengalpattu,Tamil Nadu,Port code for MWCDL-IT SEZ/Chengalpattu is INCGI6
INCGA6,MWCDL-Apparel-sez/Chengalpattu,Tamil Nadu,Port code for MWCDL-Apparel-sez/Chengalpattu is INCGA6
INCGL6,MWCDL-Auto ANCILLARIES-,Tamil Nadu,Port code for MWCDL-Auto ANCILLARIES- is INCGL6
INCJN6,NIPL-SEZ Sriperumbudur,Tamil Nadu,Port code for NIPL-SEZ Sriperumbudur is INCJN6
INCJS6,SIPCOT Hi-Tech-SEZ Sriperumbudur,Tamil Nadu,Port code for SIPCOT Hi-Tech-SEZ Sriperumbudur is INCJS6
INCJO6,SIPCOT,Tamil Nadu,Port code for SIPCOT is INCJO6
INCJF6,FTIL-SEZ Sriperumbudur,Tamil Nadu,Port code for FTIL-SEZ Sriperumbudur is INCJF6
INCBS6,SE&C Ltd-SEZ/Coimbatore,Tamil Nadu,Port code for SE&C Ltd-SEZ/Coimbatore is INCBS6
INVTC6,CHEYYAR-SEZ/Vellore,Tamil Nadu,Port code for CHEYYAR-SEZ/Vellore is INVTC6
INTEN6,SIPCOT-Gangaikondan-SEZ/Tirunelveli,Tamil Nadu,Port code for SIPCOT-Gangaikondan-SEZ/Tirunelveli is INTEN6
INTNC6,CCCL Infrastructure Ltd. –,Tamil Nadu,Port code for CCCL Infrastructure Ltd. – is INTNC6
INNNN6,AMRL International Tech City Ltd.-,Tamil Nadu,Port code for AMRL International Tech City Ltd.- is INNNN6
INTBM6,SPEHZP/L -NSaEnZg/Kuannerciheepuram,Tamil Nadu,Port code for SPEHZP/L -NSaEnZg/Kuannerciheepuram is INTBM6
INUKL6,ETLISL-SEZ/Erode,Tamil Nadu,Port code for ETLISL-SEZ/Erode is INUKL6
INPYS6,SIPCOT-SEZ/Erode,Tamil Nadu,Port code for SIPCOT-SEZ/Erode is INPYS6
INGDP6,FLLPL-SEZ/Thirruvallur,Tamil Nadu,Port code for FLLPL-SEZ/Thirruvallur is INGDP6
INENR1,Ennore,Tamil Nadu,Port code for Ennore is INENR1
INTVT6,ICD/Tondiarpet Chennai,Tamil Nadu,Port code for ICD/Tondiarpet Chennai is INTVT6
INKAT1,KATTUPALLI,Tamil Nadu,Port code for KATTUPALLI is INKAT1
INTBT6,TCSL SEZ / SIRUSERI,Tamil Nadu,Port code for TCSL SEZ / SIRUSERI is INTBT6
INCSP6,SIPL SEZ / KANCHEEPURAM,Tamil Nadu,Port code for SIPL SEZ / KANCHEEPURAM is INCSP6
INCJI6,IG3I SEZ / KANCHEEPURAM,Tamil Nadu,Port code for IG3I SEZ / KANCHEEPURAM is INCJI6
INCJD6,DLFC SEZ / KANCHEEPURAM,Tamil Nadu,Port code for DLFC SEZ / KANCHEEPURAM is INCJD6
INCEC6,ECTN SEZ / COIMBATORE,Tamil Nadu,Port code for ECTN SEZ / COIMBATORE is INCEC6
INCJE6,ECTN SEZ / KANCHEEPURAM,Tamil Nadu,Port code for ECTN SEZ / KANCHEEPURAM is INCJE6
INCJA6,AEIP SEZ / KANCHEEPURAM,Tamil Nadu,Port code for AEIP SEZ / KANCHEEPURAM is INCJA6
INCSV6,SVPL SEZ / COIMBATORE,Tamil Nadu,Port code for SVPL SEZ / COIMBATORE is INCSV6
INCGE6,ETA SEZ / KANCHEEPURAM,Tamil Nadu,Port code for ETA SEZ / KANCHEEPURAM is INCGE6
INCNC6,NCTL SEZ / KANCHEEPURAM,Tamil Nadu,Port code for NCTL SEZ / KANCHEEPURAM is INCNC6
INTBC6,CTSI SEZ / SIRUSERI,Tamil Nadu,Port code for CTSI SEZ / SIRUSERI is INTBC6
INMAS6,TIPL SEZ / CHENNAI,Tamil Nadu,Port code for TIPL SEZ / CHENNAI is INMAS6
INTLT6,LTSL SEZ / TIRUVALLUR,Tamil Nadu,Port code for LTSL SEZ / TIRUVALLUR is INTLT6
INTBH6,HIRL SEZ / KANCHEEPURAM,Tamil Nadu,Port code for HIRL SEZ / KANCHEEPURAM is INTBH6
INCBT6,TDPL SEZ / COIMBATORE,Tamil Nadu,Port code for TDPL SEZ / COIMBATORE is INCBT6
INVLR6,SIPC SEZ / VELLORE,Tamil Nadu,Port code for SIPC SEZ / VELLORE is INVLR6
INCJV6,VTPL SEZ / KANCHEEPURAM,Tamil Nadu,Port code for VTPL SEZ / KANCHEEPURAM is INCJV6
INMEC6,ECTN SEZ / MADURAI – I,Tamil Nadu,Port code for ECTN SEZ / MADURAI – I is INMEC6
INMDC6,ECTN SEZ / MADURAI – II,Tamil Nadu,Port code for ECTN SEZ / MADURAI – II is INMDC6
INSXE6,ECTN SEZ / SALEM,Tamil Nadu,Port code for ECTN SEZ / SALEM is INSXE6
INMDR6,RTPL SEZ / MADURAI,Tamil Nadu,Port code for RTPL SEZ / MADURAI is INMDR6
INCFI6,FIPL SEZ / KANCHEEPURAM,Tamil Nadu,Port code for FIPL SEZ / KANCHEEPURAM is INCFI6
INHSI6,SIPC SEZ / KRISHNAGIRI,Tamil Nadu,Port code for SIPC SEZ / KRISHNAGIRI is INHSI6
INMAE6,ECTNL SEZ / Gangaikondan,Tamil Nadu,Port code for ECTNL SEZ / Gangaikondan is INMAE6
INTBS6,HTL SEZ / Sireseri,Tamil Nadu,Port code for HTL SEZ / Sireseri is INTBS6
INAGTB,Agartala,Tripura,Port code for Agartala is INAGTB
INMHGB,Mahurighat,Tripura,Port code for Mahurighat is INMHGB
INSABB,Sabroom,Tripura,Port code for Sabroom is INSABB
INSMPB,Srimantapur,Tripura,Port code for Srimantapur is INSMPB
INRGBB,Old Raghna Bazar,Tripura,Port code for Old Raghna Bazar is INRGBB
INKWGB,Khowaighat,Tripura,Port code for Khowaighat is INKWGB
INDHLB,Dhalaighat,Tripura,Port code for Dhalaighat is INDHLB
INKELB,Kel Sahar Subdivision,Tripura,Port code for Kel Sahar Subdivision is INKELB
INBSAB,Banbasa,Uttar Pradesh,Port code for Banbasa is INBSAB
INGAIB,Gauriphanta,Uttar Pradesh,Port code for Gauriphanta is INGAIB
INRDT6,Kota-Ravtha Road,Uttar Pradesh,Port code for Kota-Ravtha Road is INRDT6
INGJIB,Gunji,Uttar Pradesh,Port code for Gunji is INGJIB
INJHOB,Jhulaghat (Pithoragarh),Uttar Pradesh,Port code for Jhulaghat (Pithoragarh) is INJHOB
INKTGB,Katarniyaghat,Uttar Pradesh,Port code for Katarniyaghat is INKTGB
INNGRB,Nepalgunj Road,Uttar Pradesh,Port code for Nepalgunj Road is INNGRB
INMBS6,Madhosingh ICD,Uttar Pradesh,Port code for Madhosingh ICD is INMBS6
INLON6,ICD Loni,Uttar Pradesh,Port code for ICD Loni is INLON6
INCPL6,Dadri-CGML,Uttar Pradesh,Port code for Dadri-CGML is INCPL6
INBDH6,ICD Badohi,Uttar Pradesh,Port code for ICD Badohi is INBDH6
INTTP6,Dadri TTPL,Uttar Pradesh,Port code for Dadri TTPL is INTTP6
INAPL6,Dadri-ACPL CFS,Uttar Pradesh,Port code for Dadri-ACPL CFS is INAPL6
INTKNB,Tikonia,Uttar Pradesh,Port code for Tikonia is INTKNB
INSNLB,Sonauli,Uttar Pradesh,Port code for Sonauli is INSNLB
INKWAB,Khunwa,Uttar Pradesh,Port code for Khunwa is INKWAB
INKNU6,Kanpur – JRY (ICD ),Uttar Pradesh,Port code for Kanpur – JRY (ICD ) is INKNU6
INJWAB,Jarwa,Uttar Pradesh,Port code for Jarwa is INJWAB
INSJR6,Greater Noida-Surajpur,Uttar Pradesh,Port code for Greater Noida-Surajpur is INSJR6
INDLAB,Dharchula,Uttar Pradesh,Port code for Dharchula is INDLAB
INBNYB,Berhni,Uttar Pradesh,Port code for Berhni is INBNYB
INSTT6,Dadri – STTPL (CFS),Uttar Pradesh,Port code for Dadri – STTPL (CFS) is INSTT6
INAGR4,Agra,Uttar Pradesh,Port code for Agra is INAGR4
INDER6,Noida-Dadri (ICD),Uttar Pradesh,Port code for Noida-Dadri (ICD) is INDER6
INMBC6,Moradabad (EPZ/SEZ),Uttar Pradesh,Port code for Moradabad (EPZ/SEZ) is INMBC6
INNDA6,Noida (EPZ/SEZ),Uttar Pradesh,Port code for Noida (EPZ/SEZ) is INNDA6
INSRE6,Saharanpur,Uttar Pradesh,Port code for Saharanpur is INSRE6
INMTC6,Meerut,Uttar Pradesh,Port code for Meerut is INMTC6
INMBD6,Pakwara (Moradabad),Uttar Pradesh,Port code for Pakwara (Moradabad) is INMBD6
INCPC6,Kanpur,Uttar Pradesh,Port code for Kanpur is INCPC6
INBSB6,Varanasi,Uttar Pradesh,Port code for Varanasi is INBSB6
INBLJ6,Agra,Uttar Pradesh,Port code for Agra is INBLJ6
INVNS4,Varanasi,Uttar Pradesh,Port code for Varanasi is INVNS4
INPNK6,KLPPL-ICD/PANKI,Uttar Pradesh,Port code for KLPPL-ICD/PANKI is INPNK6
INBEK4,Bareilly,Uttar Pradesh,Port code for Bareilly is INBEK4
INLKO4,Lucknow,Uttar Pradesh,Port code for Lucknow is INLKO4
INKNU4,Kanpur,Uttar Pradesh,Port code for Kanpur is INKNU4
IN BUL 6,AN FTWZ LTD – FTWZ/ BULANDSHAHR,Uttar Pradesh,Port code for AN FTWZ LTD – FTWZ/ BULANDSHAHR is IN BUL 6
IN ALP 6,"Dadri, Greater Noida",Uttar Pradesh,"Port code for Dadri, Greater Noida is IN ALP 6"
IN NOI6,LONI-1 ICD Ghaziabad,Uttar Pradesh,Port code for LONI-1 ICD Ghaziabad is IN NOI6
INCCU4,Kolkata Air Cargo,West Bengal,Port code for Kolkata Air Cargo is INCCU4
INGTZB,Getandah,West Bengal,Port code for Getandah is INGTZB
INHLIB,Hilli,West Bengal,Port code for Hilli is INHLIB
INJIGB,Jaigaon,West Bengal,Port code for Jaigaon is INJIGB
INSNG2,Singabad Railway Station,West Bengal,Port code for Singabad Railway Station is INSNG2
INRNG2,Ranaghat Railway Station,West Bengal,Port code for Ranaghat Railway Station is INRNG2
INRDP2,Radhikapur Railway Station,West Bengal,Port code for Radhikapur Railway Station is INRDP2
INPTPB,Petrapole Road,West Bengal,Port code for Petrapole Road is INPTPB
INPNTB,Pan itanki (Naxabari),West Bengal,Port code for Pan itanki (Naxabari) is INPNTB
INNKNB,Namkhana,West Bengal,Port code for Namkhana is INNKNB
INLGLB,Lalgola Town,West Bengal,Port code for Lalgola Town is INLGLB
INMHDB,Kotawalighat (Mohedipur),West Bengal,Port code for Kotawalighat (Mohedipur) is INMHDB
INJPGB,Jalpaiguri,West Bengal,Port code for Jalpaiguri is INJPGB
INDUR6,ICD Durgapur,West Bengal,Port code for ICD Durgapur is INDUR6
INTNGB,Tungi,West Bengal,Port code for Tungi is INTNGB
INTTSB,T.T. Shed (Kidcerpore),West Bengal,Port code for T.T. Shed (Kidcerpore) is INTTSB
INSKPB,Sukhia Pokhari,West Bengal,Port code for Sukhia Pokhari is INSKPB
INSTIB,Sitai,West Bengal,Port code for Sitai is INSTIB
INHGLB,Hingalganj,West Bengal,Port code for Hingalganj is INHGLB
INGJXB,Ghojadanga,West Bengal,Port code for Ghojadanga is INGJXB
INGED2,Gede Railway Station,West Bengal,Port code for Gede Railway Station is INGED2
INPTP8,Patrapole,West Bengal,Port code for Patrapole is INPTP8
INCBDB,Changrabandh,West Bengal,Port code for Changrabandh is INCBDB
INFBRB,Fulbari,West Bengal,Port code for Fulbari is INFBRB
INCCU1,Kolkata Sea,West Bengal,Port code for Kolkata Sea is INCCU1
INHAL1,Haldia,West Bengal,Port code for Haldia is INHAL1
INSLT6,Salt Lake (EPZ/SEZ),West Bengal,Port code for Salt Lake (EPZ/SEZ) is INSLT6
INFLT6,Falta (EPZ/SEZ),West Bengal,Port code for Falta (EPZ/SEZ) is INFLT6
INIXB4,Bagdogra,West Bengal,Port code for Bagdogra is INIXB4
INBNT6,TCS SEZ/Kolkata,West Bengal,Port code for TCS SEZ/Kolkata is INBNT6
INBXR6,DLF SEZ/Kolkata,West Bengal,Port code for DLF SEZ/Kolkata is INBXR6
INBNX6,UNITECH SEZ/Kolkata,West Bengal,Port code for UNITECH SEZ/Kolkata is INBNX6
INBNK6,Kolkata IT Park/Bantala,West Bengal,Port code for Kolkata IT Park/Bantala is INBNK6
INBNW6,Wipro SEZ/ Kolkata,West Bengal,Port code for Wipro SEZ/ Kolkata is INBNW6
