Locked,Name,Version,Created By,Created On,Status,Published
N,dq_stg_invoice_details_RefDtls_remarks,1631708151,aroy,Wed Sep 15 08:15:51 EDT 2021,Y,N
N,dq_stg_invoice_details_EwbDtls_vehicle_type,1631705516,aroy,Wed Sep 15 07:31:56 EDT 2021,Y,N
N,dq_stg_invoice_details_EwbDtls_trans_doc_date,1631705465,aroy,Wed Sep 15 07:31:05 EDT 2021,Y,N
N,dq_stg_invoice_details_EwbDtls_trans_doc_no,1631705451,aroy,Wed Sep 15 07:30:51 EDT 2021,Y,N
N,dq_stg_invoice_details_EwbDtls_vehicle_no,1631705431,aroy,Wed Sep 15 07:30:31 EDT 2021,Y,N
N,dq_stg_invoice_details_EwbDtls_trans_distance,1631705277,aroy,Wed Sep 15 07:27:57 EDT 2021,Y,N
N,dq_stg_invoice_details_EwbDtls_trans_mode,1631705224,aroy,Wed Sep 15 07:27:04 EDT 2021,Y,N
N,dq_stg_invoice_details_EwbDtls_transporter_name,1631705132,aroy,Wed Sep 15 07:25:32 EDT 2021,Y,N
N,dq_stg_invoice_details_EwbDtls_transporter_id,1631705091,aroy,Wed Sep 15 07:24:51 EDT 2021,Y,N
N,dq_stg_invoice_details_ExpDtls_export_duty_amount,1631705005,aroy,Wed Sep 15 07:23:25 EDT 2021,Y,N
N,dq_stg_invoice_details_ExpDtls_country_code_of_export,1631704956,aroy,Wed Sep 15 07:22:36 EDT 2021,Y,N
N,dq_stg_invoice_details_ExpDtls_additional_currency_code,1631704875,aroy,Wed Sep 15 07:21:15 EDT 2021,Y,N
N,dq_stg_invoice_details_ExpDtls_supplier_can_opt_refund_,1631704835,aroy,Wed Sep 15 07:20:35 EDT 2021,Y,N
N,dq_stg_invoice_details_ExpDtls_port_code,1631704799,aroy,Wed Sep 15 07:19:59 EDT 2021,Y,N
N,dq_stg_invoice_details_ExpDtls_shipping_bill_date,1631704745,aroy,Wed Sep 15 07:19:05 EDT 2021,Y,N
N,dq_stg_invoice_details_ExpDtls_shipping_bill_number,1631704700,aroy,Wed Sep 15 07:18:20 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_amount_due_for_payment,1631703696,aroy,Wed Sep 15 07:01:36 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_credit_days,1631703657,aroy,Wed Sep 15 07:00:57 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_paid_amount,1631703636,aroy,Wed Sep 15 07:00:36 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_direct_debit_terms,1631702695,aroy,Wed Sep 15 06:44:55 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_credit_transfer_terms,1631702663,aroy,Wed Sep 15 06:44:23 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_payment_instruction,1631702535,aroy,Wed Sep 15 06:42:15 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_payment_terms,1631702497,aroy,Wed Sep 15 06:41:37 EDT 2021,Y,N
